hand_x_pos,hand_y_pos,hand_z_pos,hand_quat_q,hand_quat_p1,hand_quat_p2,hand_quat_p3
0.089453,0.10805,1.34,0.053194,-0.059441,-0.12074,-0.98947
0.09753,0.11365,1.3254,0.079229,-0.074201,-0.1235,-0.98639
0.10594,0.11999,1.31,0.10779,-0.087132,-0.12529,-0.98239
0.11413,0.12674,1.2938,0.13961,-0.10117,-0.12623,-0.9769
0.1221,0.1338,1.277,0.17506,-0.11767,-0.1258,-0.96937
0.12985,0.14128,1.2595,0.21355,-0.13514,-0.1244,-0.95951
0.13686,0.14917,1.2409,0.25429,-0.15223,-0.1235,-0.94705
0.14307,0.1576,1.2209,0.29729,-0.16782,-0.12394,-0.93172
0.14854,0.16645,1.1997,0.34218,-0.18285,-0.12481,-0.91318
0.15302,0.17541,1.1781,0.38768,-0.19918,-0.125,-0.8913
0.15666,0.18433,1.1562,0.4338,-0.21903,-0.12502,-0.86499
0.15933,0.19337,1.1338,0.47991,-0.23988,-0.12426,-0.83469
0.16028,0.20264,1.1103,0.524,-0.25666,-0.12004,-0.80321
0.15945,0.21241,1.0853,0.56627,-0.26576,-0.11033,-0.77236
0.15692,0.22242,1.0592,0.60662,-0.27087,-0.097276,-0.74107
0.15222,0.23207,1.0328,0.64303,-0.27806,-0.084687,-0.70854
0.14524,0.24124,1.0063,0.67565,-0.28877,-0.07504,-0.67414
0.13611,0.25005,0.97946,0.70448,-0.30167,-0.065955,-0.63902
0.12473,0.25826,0.95283,0.72749,-0.31868,-0.053971,-0.60521
0.11098,0.26614,0.9262,0.74296,-0.34181,-0.037617,-0.57424
0.094981,0.27342,0.89975,0.75271,-0.36904,-0.01844,-0.54488
0.07703,0.27912,0.87443,0.76013,-0.39627,0.002448,-0.51495
0.057018,0.28275,0.85038,0.76682,-0.42206,0.025487,-0.4829
0.035052,0.28479,0.82745,0.77095,-0.44762,0.050139,-0.45029
0.011741,0.28573,0.80619,0.77111,-0.47298,0.073812,-0.4198
-0.013104,0.2857,0.78666,0.76626,-0.49933,0.09546,-0.39294
-0.039293,0.28458,0.76878,0.75789,-0.52564,0.11608,-0.36856
-0.065654,0.28239,0.75285,0.7489,-0.54882,0.13618,-0.34556
-0.092183,0.27894,0.73901,0.74111,-0.56745,0.15572,-0.32328
-0.11889,0.27443,0.72711,0.73323,-0.58327,0.17478,-0.30269
-0.1446,0.26951,0.71698,0.72352,-0.59796,0.19405,-0.28513
-0.16897,0.26446,0.70876,0.71034,-0.61193,0.21598,-0.27261
-0.19235,0.25901,0.7023,0.69544,-0.62483,0.2381,-0.26319
-0.21461,0.25298,0.69703,0.68244,-0.63739,0.2537,-0.25228
-0.23582,0.24605,0.69289,0.67335,-0.65054,0.25876,-0.23756
-0.25589,0.23854,0.68994,0.66651,-0.66365,0.25741,-0.22151
-0.27447,0.23117,0.68782,0.66022,-0.6754,0.25532,-0.2068
-0.29143,0.22397,0.6865,0.65443,-0.68532,0.25377,-0.19404
-0.30688,0.21691,0.686,0.64936,-0.69404,0.25153,-0.1827
-0.32082,0.21055,0.68604,0.64372,-0.7019,0.25052,-0.17376
-0.33321,0.20525,0.68666,0.63677,-0.70903,0.25201,-0.16822
-0.34408,0.20067,0.68781,0.62933,-0.71539,0.25475,-0.16511
-0.35355,0.19635,0.68903,0.62253,-0.72114,0.25692,-0.1625
-0.36168,0.19196,0.69027,0.61601,-0.72658,0.25867,-0.16032
-0.3684,0.18783,0.69157,0.61016,-0.73144,0.25986,-0.15866
-0.37366,0.18451,0.69268,0.60718,-0.73508,0.25827,-0.15581
-0.26529,0.20246,0.69344,0.66489,-0.58229,0.28289,-0.37261
